"PID","COD_CAUSA","DESC_CAUSA","PID_GCIN_CAUSA","INDIC_PROTOC_JUSTIF_CAUSA"
"00001k00000002Bb","22",ATENDIDO POR OUTRA OCORRENCIA,"31",N
"00001k00000002B[","20",FALTA DE ACESSO,"31",N
"00001k00000002Ba","21",NECESSARIO VEICULO CESTO,"31",N
"00001k000000004B","18",ABALROAMENTO,"15",S
"00001k000000004C","19",ACIDENTE DE TERCEIROS,"17",S
"00001k000000004D","23",OBJETOS ESTRANHOS NA REDE,"18",S
"00001k000000004E","24",DESLIGAMENTO POR SEGURANCA,"29",N
"00001k000000004F","26",VANDALISMO/FURTOS,"14",S
"00001k000000004G","28",QUEIMADAS/INCENDIO,"7",S
"00001k000000004H","33",FALHA HUMANA DA EMPRESA,"22",S
"00001k000000004I","34",FALHA HUMANA CONTRATADA,"21",S
"00001k000000004J","38",DESEQUILIBRIO DE CARGA/TENSAO,"26",S
"00001k000000004K","39",MANOBRAS,"3",S
"00001k000000004L","41",MANUTENCAO CORRETIVA,"3",S
"00001k000000004M","42",MANUTENCAO PREVENTIVA,"4",N
"00001k000000004N","43",MELHORIAS E/OU AMPLIACOES,"1",N
"00001k000000004O","51",RACIONAMENTO DE ENERGIA,"27",N
"00001k000000004P","52",TRANSF. CARGA/RETORNO CONFIG.,"27",S
"00001k000000004Q","54",COMPONENTE AVARIADO/DESRREGUL,"28",S
"00001k000000004R","60",FALHA OU DEFEITO DE FABRICACAO,"30",S
"00001k000000004S","68",PONTO QUENTE,"26",S
"00001k000000004T","69",FALHA DE OUTRO RA/DISJUNTOR,"30",S
"00001k000000004U",K1,MANOBRA INDEVIDA SISTEMA INTER,"22",N
"00001k000000004V",K2,INTER. ACID. MANUT SIST INTERL,"34",N
"00001k000000004W",K3,RACIONAMENTO SIST. INTERLIGADO,"31",N
"00001k000000004X",K4,RECOMPOSICAO SIST. INTERLIGADO,"35",N
"00001k000000004Y",K5,FALHA COMP. PROT. SIST. INTERL,"35",N
"00001k000000004Z",K6,FALHA COMP. MEDICAO SIST. INT.,"35",N
"00001k000000004[",K7,FALHA SUPERVISAO SIST. INTERL.,"35",N
"00001k000000004a",K8,FALHA GERACAO/TRANSM. SIST.INT,"35",N
"00001k000000004b",K9,FALHA ALIMENTACAO CA/CC SIST.,"35",N
"00001k000000004c",P1,OSCILACAO DE TENSAO/FREQ. SIST,"35",N
"00001k000000004d","01",ANIMAIS/INSETOS/PASSAROS,"12",S
"00001k000000004e","02",GALHOS TOCANDO A RD (PODA) ,"10",S
"00001k000000004f","03",CORROSAO/OXIDACAO/POLUICAO,"6",S
"00001k000000004g","04",DESCARGA ATMOSFERICA,"11",S
"00001k000000004h","05",EROSAO,"9",S
"00001k000000004i","06",GEADA/NEVE/BAIXA TEMP./GRANIZO,"31",S
"00001k000000004j","09",INUNDACAO/ALAGAMENTO/BANHADO,"8",S
"00001k000000004k","13",VENTO/VENDAVAL,"13",S
"00001k000000004l","15",FATORES IMPREV.CALAMID.PUBLICA,"8",S
"00001k000000004m","71",DEFEITO INSTALACAO INTERNA,"19",S
"00001k000000004n","74",LIGAR/DESLIGAR/RELIGAR,"28",S
"00001k000000004o","75",REARMAR DISJUNTOR,"28",S
"00001k000000004p","78",SUBSTIT./RETIRADA/INSTALACAO,"30",N
"00001k000000004s","82",NAO IDENTIFICADA,"31",S
"00001k000000004t","83",ATENDIMENTO NAO EFETUADO,"31",S
"00001k000000004u","85",IMPROCEDENTE,"31",S
"00001k000000004w","87",COORDENACAO DA PROTECAO,"26",N
"00001k000000004x","88",SOLICITACAO DE TERCEIROS,"21",N
"00001k000000004y","89",ACOMP. VEICULO CARGA ALTA,"19",N
"00001k000000004z","90",AUXILIAR OUTRA EQUIPE,"29",S
"00001k0000000050","91",INSP./MANUT. EQUIPE DE EMERG.,"3",N
"00001k0000000051","93",MEDICOES/LEITURA EM SE OU RD,"4",N
"00001k0000000052","95",SERVIÇO EQUIPE DE MANUTENÇÃO,"31",N
"00001k0000000053","96",OUTRAS NECESSIDADES DA EMPRESA,"29",N
"00001k0000000054","98",FESTIVIDADES/COMICIOS/EVENTOS,"31",N
"00001k0000000055","47",FALHA SISTEMA GERACAO/TRANSM,"35",N
"00001k0000000056","48",FALHA ALIMENTACAO CA/CC,"35",N
"00001k0000000057","50",OSCILACAO DE TENSAO/FREQUENCIA,"26",N
"00001k0000000058",E1,MANOBRA INDEVIDA TRANSMISSAO,"35",N
"00001k0000000059",E2,"MANOBRA INDEVIDA EM SE 34,5 kV","22",N
"00001k000000005@",E3,INTERF. ACIDENT. EQUIPE MANUT.,"23",N
"00001k000000005A",E4,CORTE DE CARGA,"27",N
"00001k000000005B",E5,RECOMPOSICAO,"3",N
"00001k000000005C",H1,FALHA COMPONENTE PROTECAO,"30",N
"00001k000000005D",H2,FALHA DE COMPONENTE DE MEDICAO,"30",N
"00001k000000005E",H3,FALHA SUPERVISAO(COE/COD/COS),"22",N
"00001k00000002@y","76",NIVEL TENSAO ENVIAR P/ MEDICAO,"25",N
"00001k00000002@x","77",NIVEL TENSAO NADA ENCONTRADO,"25",N
"00001k00000002@z","40",ABERTURA OPERACAO OUTRA CHAVE,"3",S
"00001k00000002A0","07",ÁRVORE CAIU SOBRE A REDE,"10",S
"00001k00000002A1","08",CASCAS/GALHOS LANÇADOS NA RD,"10",S
"00001k00000002A2","44",REPOR COMPONENTE FURTADO DA RD,"14",S
"00001k00000002BV","45",REVISAO OBRA,"1",N
"00001k00000002BW","10",TERCEIROS DERRUBADA ARVORE RD,"17",N
